FAMILY,GENUS,SPECIES,common_name,Unique_identifier,Rainfall,Standard_tube,Direct_seed,Existing_overstorey,Nectar,Pollen,NP_rank,Sand,Loam,Clay,Calcareous,Soil-rank,SL,SE,SYP,NYP,EP,Summer,Autumn,Winter ,Spring,Season_rank,Under 2m,Mid 2-5m,Over over 5m,Meadow_DS,Hedge_TS,Shelter_TS,Drought_tolerant,Salt_tolerant,Erosion_control,Fire_resistance,Fire_promotion,ES_rank
Pittosporaceae,Bursaria,spinosa ssp spinosa,christmas bush,PSsp110,350,1,1,1,2,2,4,0,1,1,1,3,1,1,1,1,1,1,0,0,1,2,0,1,0,0,1,0,1,1,1,1,0,14
Myrtaceae,Callistemon,rugulosus,scarlet bottlebrush,PSsp80,400,1,1,1,2,2,4,1,1,1,1,4,1,1,1,1,1,1,0,0,1,2,0,1,0,0,1,0,1,1,1,0,0,14
Myrtaceae,Melaleuca,halmaturorum,salt paper bark,PSsp104,350,1,1,1,2,2,4,1,1,1,1,4,0,1,1,0,1,1,0,0,1,2,0,1,0,0,1,0,1,2,1,0,1,14
Myrtaceae,Melaleuca,lanceolata,dryland tea tree,PSsp105,250,1,1,1,2,2,4,1,1,1,1,4,1,1,1,1,1,1,0,0,1,2,0,1,0,0,1,0,1,2,1,0,1,14
Fabaceae,Acacia,paradoxa,kangaroo thorn,PSsp27,400,1,1,1,0,2,2,1,1,1,1,4,1,1,1,1,0,0,1,1,1,3,0,1,0,0,1,0,1,1,1,0,0,13
Casuarinaceae,Allocasuarina,verticillata,droopping sheoak,PSsp9,350,1,1,1,0,2,2,1,1,1,1,4,1,1,1,1,1,0,1,1,0,2,0,0,1,0,0,1,1,1,1,1,0,13
Proteaceae,Banksia ,marginata,silver banksia,PSsp115,450,1,1,1,2,2,4,1,1,1,0,3,1,1,0,0,0,1,1,0,1,3,0,1,0,0,1,0,0,1,0,1,0,13
Aizoaceae,Carpobrotus ,rossi,pig face,PSsp1,300,0,0,1,2,2,4,1,1,1,0,3,1,1,1,1,1,1,0,1,1,3,1,0,0,0,0,0,1,0,1,1,0,13
Myrtaceae,Eucalyptus,gracilis,white mallee,PSsp84,200,1,1,0,2,2,4,1,1,0,1,3,1,0,1,1,1,0,1,1,1,3,0,0,1,0,0,1,1,1,1,0,1,13
Myrtaceae,Leptospermum,coriaceum,green tea tree,PSsp102,350,1,1,1,2,2,4,1,1,1,0,3,0,0,0,0,1,0,0,1,1,2,0,1,0,0,1,0,1,1,1,0,0,13
Myrtaceae,Melaleuca,decussata,cross leaved honey myrtle,PSsp106,450,1,1,1,2,2,4,0,1,1,1,3,1,0,1,0,1,1,0,0,1,2,0,1,0,0,1,0,1,2,1,0,1,13
Myrtaceae,Melaleuca,brevifolia,swamp honey myrtle,PSsp108,400,1,1,1,2,2,4,1,1,1,1,4,1,1,0,0,1,1,0,0,1,2,0,1,0,0,1,0,0,2,1,0,1,13
Myoporaceae,Myoporum,parvifolium,dwarf native myrtle,PSsp72,350,0,0,1,2,1,3,1,1,1,1,4,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0,13
Lamiaceae,Teucrium,racemosum,grey germander,PSsp40,200,0,0,0,2,2,4,1,1,1,1,4,0,0,0,0,0,1,1,1,1,4,1,0,0,0,0,0,1,0,0,0,0,13
Myrtaceae,Baeckea,crassifolia,desert heath myrtle,PSsp77,450,0,0,1,2,1,3,1,1,1,0,3,1,1,1,1,1,0,1,1,0,2,1,0,0,0,1,0,1,1,1,0,0,12
Compositae,Chrysocephalum,apiculatum,common yellow button,PSsp12,450,1,0,1,2,2,4,1,1,1,0,3,1,1,1,1,1,0,0,1,1,2,1,0,0,1,0,0,0,0,1,1,0,12
Goodeniaceae,Dampiera,rosmarinifolia,native rosemary,PSsp33,400,0,0,1,2,2,4,1,1,1,0,3,1,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,1,0,0,12
Lilliaceae,Dianella,revoluta,black anther flax lily,PSsp62,400,1,0,1,0,2,2,1,1,1,1,4,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,1,1,1,0,12
Sapindaceae,Dodonaea,viscosa ssp angustisima,narrow leaved hop bush,PSsp125,300,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,0,1,3,0,1,0,0,1,0,1,0,0,1,0,12
Myrtaceae,Eucalyptus,porosa,black mallee box,PSsp83,300,1,1,0,2,2,4,1,1,1,1,4,1,1,1,1,1,1,0,0,1,2,0,0,1,0,0,1,1,0,1,0,1,12
Myrtaceae,Eucalyptus,camaldulensis,river red gum,PSsp85,300,1,1,0,2,2,4,1,1,1,0,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,2,1,0,1,12
Proteaceae,Grevillea,ilicifolia,holy grevillea,PSsp116,400,0,0,1,2,2,4,1,1,1,0,3,1,0,1,1,1,1,0,1,1,3,0,1,0,0,1,0,0,0,0,1,0,12
Myrtaceae,Leptospermum,continentale,prickly tea tree,PSsp103,500,1,1,1,2,2,4,1,1,1,0,3,1,1,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,1,0,0,12
Myrtaceae,Melaleuca,uncinata,broombush,PSsp107,350,1,1,1,2,2,4,1,1,0,1,3,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,0,1,12
Myoporaceae,Myoporum,petiolatum,sticky boobialla,PSsp74,350,0,0,1,1,1,2,1,1,1,0,3,1,0,0,0,0,1,0,1,1,3,0,1,0,0,1,0,1,0,1,1,0,12
Pittosporaceae,Pittosporum,angustifolium,native apricot,PSsp112,250,1,0,1,2,2,4,1,1,1,1,4,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,12
Goodeniaceae,Scaevola,albida,small fruited fan flower,PSsp36,450,0,0,1,1,2,3,1,1,1,0,3,1,0,1,0,0,1,1,1,1,4,1,0,0,0,0,0,0,0,1,1,0,12
Leguminosae,Senna,artemisioides,deset cassia,PSsp58,250,1,0,1,0,2,2,1,1,1,1,4,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,0,0,12
Leguminosae,Templetonia,retusa,cockies tongue,PSsp59,300,1,1,1,2,1,3,1,1,1,1,4,0,0,1,0,1,0,0,1,1,2,0,1,0,0,1,0,1,0,1,0,0,12
Campanulaceae,Wahlenbergia,stricta,native blue bells,PSsp7,450,1,0,1,2,2,4,1,1,1,0,3,1,1,1,1,1,1,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,12
Fabaceae,Acacia,melanoxylon,blackwood,PSsp28,500,1,1,1,0,2,2,0,1,1,0,2,1,1,0,0,0,0,0,1,1,2,0,0,1,0,1,1,0,1,1,1,0,11
Fabaceae,Acacia,pycnantha,golden wattle,PSsp29,350,1,1,1,0,2,2,1,1,1,0,3,1,1,1,1,1,0,0,1,1,2,0,0,1,0,0,1,1,1,1,0,0,11
Lamiaceae,Ajuga ,australis,australian bugle,PSsp38,400,0,0,1,2,2,4,1,1,1,0,3,1,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,11
Lilliaceae,Dianella ,brevicaulis,smooth flax lily,PSsp63,400,1,0,1,0,2,2,1,1,1,1,4,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,11
Myoporaceae,Eremophila,opositifolia,twin leaf emu bush,PSsp70,300,0,0,1,1,1,2,1,1,1,1,4,0,0,0,1,1,0,1,1,1,3,1,0,0,0,1,0,1,0,0,0,0,11
Myrtaceae,Eucalyptus,socialis ssp socialis,red mallee,PSsp82,250,1,1,0,2,2,4,1,1,0,1,3,1,0,0,1,0,1,0,0,1,2,0,0,1,0,0,1,1,0,1,0,1,11
Myrtaceae,Eucalyptus,oleosa ssp. ampliata ,acorn mallee,PSsp90,300,1,1,0,2,1,3,1,1,0,1,3,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,1,1,1,1,0,1,11
Myrtaceae,Eucalyptus,incrassata,yellow mallee,PSsp91,350,1,1,0,2,1,3,1,1,0,0,2,1,0,1,1,1,1,0,1,1,3,0,0,1,0,0,1,1,1,1,0,1,11
Myrtaceae,Eucalyptus,diversifolia,coastal white mallee,PSsp92,350,1,1,0,2,1,3,1,1,0,1,3,0,1,1,0,1,0,0,1,1,2,0,0,1,0,0,1,1,1,1,0,1,11
Proteaceae,Grevillea,lavandulacea,heath grevillea,PSsp117,450,0,0,1,2,2,4,1,1,1,0,3,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,0,11
Proteaceae,Hakea,rostrata,beaked hakea,PSsp118,400,1,0,1,2,1,3,1,1,1,0,3,1,1,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,1,1,0,11
Proteaceae,Hakea,rugosa,wrinkled hakea,PSsp119,450,1,0,1,2,1,3,1,1,1,0,3,1,1,1,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,1,1,0,11
Myrtaceae,Leptospermum,lanigerum,wooly tea tree,PSsp101,550,1,1,1,2,2,4,0,1,1,0,2,1,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,1,0,1,0,0,11
