FAMILY,GENUS,SPECIES,common_name,Uniquie_identifier,Rainfall,Standard_tube,Direct_seed,Bare_field,Existing_overstorey,Nectar,Pollen,Sand,Loam,Clay,Calcareous,SL,SE ,SYP, NYP,EP,Summer,Autumn,Winter ,Spring,Under 2m,Mid 2-5m,Over over 5m,Hedge,Shelter,Drought_toleraant,Salt_tolerrant,Erosion_control,ResourcePN_quality,Fire_resistance,Fire_promotion
Aizoaceae,Carpobrotus ,rossi,pig face,PSsp1,300,0,0,1,1,2,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,4,1,0
Asparagaceae,Lomandra,multiflora,iron grass,PSsp2,400,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,2,0,0
Asteraceae,Craspedia ,glauca,billy buttons,PSsp3,450,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Asteraceae,Senecio,hypoleucus,pale grounsel,PSsp4,500,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
Boraginaceae,Halgania,andromedifolia,smooth blue flower,PSsp5,350,0,0,0,1,0,2,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Boraginaceae,Halgania ,cyanea,rough halgania,PSsp6,250,0,0,0,1,0,2,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
Campanulaceae,Wahlenbergia,stricta,native blue bells,PSsp7,450,1,0,0,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,4,0,0
Casuarinaceae,Allocasuarina,muelleriana,slaty sheoak,PSsp8,400,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,2,0,0
Casuarinaceae,Allocasuarina,verticillata,droopping sheoak,PSsp9,350,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,2,1,0
Colchicaceae,Buchardia,umbellata,milkmaids,PSsp10,350,1,0,0,1,0,2,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0
Compositae,Brachyscome,ciliaris var. ciliaris,variable daisy,PSsp11,400,0,0,0,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,4,0,0
Compositae,Chrysocephalum,apiculatum,common yellow button,PSsp12,450,1,0,0,1,2,2,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,4,1,0
Compositae,Chrysocephalum ,semipapposum,clustered everlasting,PSsp13,350,1,0,0,1,2,2,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,4,0,0
Compositae,Helichrysum,leucopsideum,satin everlasting,PSsp14,400,0,0,0,1,2,2,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0
